,Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
4332,514,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,preta,escrava,"Rua da Cadêa, 68",,"VENDE-SE huma preta de elegante figura, a qual sabe perfeitamente lavar de rio, cozinhar e engommar; e huma linda mocamba de 16 annos que sabe cozer, engommar e lavar; na rua da Cadêa n. 68.",,,,,,,,,,,,,,,,
4333,515,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,25.0,preta,escrava,"Rua da Ajuda, 66",,"VENDE-SE huma preta, de 25 annos, que cozinha, engomma e lava, e dous moleques; na rua da Ajuda n. 66, loja.",,,,,,,,,,,,,,,,
4334,516,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,preta,escrava,"Rua do Piolho, 66",,"VENDE-SE huma bonita preta de nação, sabendo lavar, engommar, cozinhar de todos os feitios e tambem de forno, e faz doces de todas as qualidades, tudo com perfeição; na rua do Piolho n. 66.",,,,,,,,,,,,,,,,
4335,517,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,"aluguel
",oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua de Matacavallos, 72",,"ALUGA-SE hum preto que entende alguma cousa de enchada e sabe andar com carroça, ou para outra qualquer cousa, por 10$ rs. mensaes.",,,,,,,,,,,,,,,,
4336,518,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,"aluguel
",oferecendo serviço,1,,,,,roceiro,,,M,,preto,escravo,"Rua de Andarahy Pequeno, 28",,ALUGA-SE hum preto de roça na rua de Andarahy Pequeno n. 28.,,,,,,,,,,,,,,,,
4337,519,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,fuga,procurando serviço,1,30$000,,,,,Antonio,Congo,M,,preto,escravo,"Rua do Ouvidor, 46",,"30$000 RS. DE GRATIFICAÇÃO. Fugio, no dia 16 de julho, hum preto de nação Congo, de nome Antonio, baixo, bem reforçado, beiços grossos, nariz chato a largo, com signaes de sarnas pelas pernas, e sabendo fallar alguma cousa francez; levou hum trouxa com alguma roupa de panno e de brim; consta estar nesta cidade, e se protesia contra quem o tiver acou(...) com todo o rigor da lei. Quem o levar á rua d'Ouvidor n. 46, receberá a dita gratificação acima.",,,,,,,,,,,,,,,,
4338,520,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,venda,oferecendo serviço,1,,,,,lavadeira,,,F,,preta,escrava,"Beco dos Cachorros, 18",,VENDEM-SE hum escravo peritimo official de carpinteiro e huma preta boa lavadeira; no beco dos Cachorros n. 18.,,,,,,,,,,,,,,,,
4339,521,Jornal do Commercio,226,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,27-Aug-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira, lavadeira",,,F,16.0,preta,escrava,"Rua da Cadêa, 68",,"VENDE-SE huma preta de elegante figura, a qual sabe perfeitamente lavar de rio, cozinhar e engommar; e huma linda mocamba de 16 annos que sabe cozer, engommar e lavar; na rua da Cadêa n. 68.",,,,,,,,,,,,,,,,
4340,522,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,>1,,,J. Bouis,M,,,,M,,,escravo,,,"J. BOUIS fará leilão, amanhãa sabbado, de huma muito grandee linda porção de escravos de ambos os sexos, com conddição de boa venda e perfeita saúde.
",,,,,,,,,,,,,,,,
4341,523,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,,,Moçambique,M,,preto,escravo,"Largo da Sé, 5",,"VENDE-SE, por preço commodo, hum preto Moçambique proprio para roça; no largo da Sé n. 5.",,,,,,,,,,,,,,,,
4342,524,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,"costureira, lavadeira",,,F,13.0,preta,escrava,"Rua dos Ourives, 17",,"VENDE-SE, por precisão, huma linda negrinha de 13 annos, que cose alinhavado, ensaboa e engomma liso; na rua dos Ourives n. 17, loja.",,,,,,,,,,,,,,,,
4343,525,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,"aluguel
",procurando serviço,1 ou 2,,,,,"lavadeira, engomadeira",,,F,,preta,escrava,"Rua dos Ourives, 40",,"PRECISA-SE alugar huma ou duas escravas sabendo lavar e engommar, para portas a dentro; na rua dos Ourives n. 40.",,,,,,,,,,,,,,,,
4344,526,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,cozinheira,,,F,,preta,escrava,"Rua da Conceição, 15",,"VENDE-SE huma bonita e reforçada preta, perfeita cozinheira de fôrno, fogão, que engomma muito bem, lava tanto de sabão como de barrela, faz doces de todas as qualidades e refina assucar: na rua da Conceição n. 15.",,,,,,,,,,,,,,,,
4345,527,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,"aluguel
",oferecendo serviço,1,,,,,"lavadeira, engomadeira",,,F,,preta,escrava,"Rua do Hospício, 263",,"ALUGA-SE, na rua do Hospício, venda n. 263, huma preta sabendo lavar e engommar com perfeição.",,,,,,,,,,,,,,,,
4346,528,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,,,,M,20.0,preto,escravo,"Rua dos Ourives, 17",,"VENDE-SE hum preto de 20 annos de idade, entende de todo o serviço de roça, e dá de ganho 480 rs. por dia; na rua dos Ourives n. 17.",,,,,,,,,,,,,,,,
4347,529,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,fuga,duvida,1,,,,,,,,M,,preto,escravo,"Rua do Ouvidor, 154",,"Achou-se, ás 11 horas da noite do dia 26 do corrente, hum moleque que diz pertencer ao Sr. Alexandre, do Catete, empregado n'alfandega; quem fôr seu dono, comparecendo na rua do Ouvidor n. 154, e dando signaes certos, se lhe entregará.",,,,,,,,,,,,,,,,
4348,530,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua do Regente, 7",,"VENDE-SE, por motivo que não desagradará ao comprador, huma escrava perfeita mocamba, afiançando-se o não ter vício algum, na rua do Regente n. 7.",,,,,,,,,,,,,,,,
4349,531,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,>1,,,,,"sapateiros, doceiros, alfaiates, torneiros, lavadeiras",,,M,,preto,escravo,"Rua do Sabão, 11",,"VENDE-SE escravos de ambos os sexos, chegados proximamente de fóra,, entre os quaes há sapateiros, doceiros, alfaiates, torneiros, lavadeiras, etc.; na rua do Sabão n. 11.",,,,,,,,,,,,,,,,
4350,532,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira e costureira",,,F,,preta,escrava,"Rua do Ouvidor, 49",,"VENDE-SE huma preta de conducta afiançada, com as habilidades seguintes: lava, engomma, cozinha e cose; dirigir-se na padaria franceza da rua do Ouvidor n. 49.",,,,,,,,,,,,,,,,
4351,533,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda/aluguel,procurando serviço,>1,,,,,marinheiro,,,M,,preto,escravo,"Rua Nova de São Francisco da Prainha, 16",,"PRECISA-SE de pretos marinheiros para a carreira do Rio Grande do Sul; quem os tiver e quizer alugar dirija-se á rua nova de S. Francisco da Prainha n. 16, armazem de maçames de Manoel Monteiro Alvarenga e Comp.",,,,,,,,,,,,,,,,
4352,534,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,compra,procurando serviço,>1,,,,,,,,M,,preto,escravo,"Rua da Cadêa, 54",,"Comprão-se escravos e escravas de todas as idades, e habilidades; na rua da Cadêa n. 54.",,,,,,,,,,,,,,,,
4353,535,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,"aluguel
",procurando serviço,1,,,,,,,,F,,parda,escrava,"Rua da Cadêa, 45",,"PRECISA-SE alugar huma parda, escrava, só para o serviço de dentro de casa; na rua da Cadêa n. 45, sobrado.",,,,,,,,,,,,,,,,
4354,536,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,fuga,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua Nova de São Bento, 21",,"Fugio de bordo da sumaca Tres Irmãos, no dia 20 do corrente, hum preto marinheiro por nome João, de nação Moçambique, com os signaes seguintes: estatura baixa, tem três lanhos de cada banda da testa, cara redonda, falta de cabello, idade 40 annos; roupa, camisa de baeta encarnada e calça preta, boné pintado: quem do mesmo apanhar e levar á rua Nova de S. Bento n. 21, receberá boas alviçaras.",,,,,,,,,,,,,,,,
4355,537,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,1$000,,,,,,,M,,preto,escravo,"Rua da Cadêa, 33",,"VENDE-SE por precisão hum bom escravo rapaz, official pintor que dá 1$000 rs. de jornal, sem vicios nem molestias,. e tambem cozinha soffrivelmente; na rua da Cadêa n. 33, armarinho.",,,,,,,,,,,,,,,,
4356,538,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,16.0,preto,escravo,"Rua do Parto, 102",,"VENDE-SE hum moleque cozinheiro proprio para pagem, de idade 16 a 18 annos. Quem o pretender dirija-se á rua do Parto, casa n. 102. Na mesma casa aluga-se hum preto e huma preta para todo o serviço de huma casa.",,,,,,,,,,,,,,,,
4357,539,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,260$; 250$,,,,,,,M,,preto,escravo,"Rua do lavradio, 23",,"VENDE-SE hum bom escravo para todo o serviço por 260$ réis, he de meia idade e não tem vícios: e hum bom piano inglez por 250$; na rua do lavradio n. 23.",,,,,,,,,,,,,,,,
4358,540,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,"aluguel
",oferecendo serviço,1,,,,,serviço de casa,,,F,,preta,escrava,"Rua da Princeza do Vallongo, 104",,ALUGA-SE huma preta para o serviço de portas a dentro na rua da Princeza do Vallongo n. 104.,,,,,,,,,,,,,,,,
4359,541,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,"aluguel
",oferecendo serviço,1,10,,,,serviço de portas a dentro,,,F,,preta,escrava,"Rua das Flores, 80",,"ALUGA-SE , para todo o serviço de portas a dentro de huma casa, huma preta por 10$ rs. , pagos adiantados; na rua das Flores n. 80.",,,,,,,,,,,,,,,,
4360,542,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua do Fogo, 32",,"VENDE-SE, pela vez primeira e para fôra da terra, huma perfeitissima mocamba, a qual debuxa e borda, corta e faz vestidos de senhora, camisas de homem, marca de todas as qualidades, faz doces, etc.; na rua do Fogo n. 32.",,,,,,,,,,,,,,,,
4361,543,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,"aluguel
",oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua de Andarahy Pequeno, 28",,ALUGA-SE hum preto de roça na rua de Andarahy Pequeno n. 28.,,,,,,,,,,,,,,,,
4362,544,Jornal do Commercio,227,4,http://memoria.bn.br/DocReader/364568_03/896,28-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua dos Ourives, 17",,"VENDE-SE, por precisão, huma linda negrinha de 13 annos, que cose alinhavado, ensaboa e engomma liso; na rua dos Ourives n. 17, loja.",,,,,,,,,,,,,,,,
4363,545,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/364568_03/900,29-Aug-1840,venda,oferecendo serviço,>1,,,J. Bouis,M,,,,M,,,escravo,"Rua do Ouvidor, 90",,"J. BOUIS faz leilão, hoje, em sua casa, rua do Ouvidor n. 90, de huma linda porção de escravos de ambos os sexos, entre os quaes tem moleques proprios para pagens ou qualquer officio, negrinhas com prenda, rapatigas cozinheiras, engommadeiras e lavadeiras, pretos de officios e de roça, e mais 11 escravos pertencentes a huma fazenda em liquidação, constando de dous carpinteiro, duas mocambas, sapateiros e negros de roça; todos elles serão vendidos impreterivelmente, com fiança de saude e boa venda. A's 10 1/2 horas.",,,,,,,,,,,,,,,,
4364,546,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/364568_03/900,29-Aug-1840,aluguel,oferecendo serviço,1,,,,,serviço de casa,,,F,,preta,escrava,"Rua dos Ourives, 229",,ALUGA-SE huma preta cativa que sabe todo o serviço de huma casa; na rua dos Ourives n. 229.,,,,,,,,,,,,,,,,
4365,547,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,13.0,preta,escrava,"Rua dos Ourives, 17",,"ALUGA-SE huma negrinha de 13 a 14 annos, propria para mocamba e tem algumas habilidades; e hum molecão de 20 annos de todo o serviço de roça: na rua dos Ourives n. 17, loja.",,,,,,,,,,,,,,,,
4366,548,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,>1,,,,,,,,M,,,escravo,"Rua do Hospício, 98 A",,VENDEM-SE varios escravos de ambos os sexos com habilidades: no armazem da rua do Hospício n. 98 A.,,,,,,,,,,,,,,,,
4367,549,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,"pescador, remador",,,M,,,escravo,"Rua do Sabão, 27",,"VENDE-SE, na rua do Sabão n. 27, hum escravo de boa figura, pescador e remador.",,,,,,,,,,,,,,,,
4368,550,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, cozinheira",,,F,,preta,escrava,"Rua do Lavradio, 67",,"ALUGA-SE huma preta perfeita lavadeira, cozinha o trivial e he de boa conducta. Quem a precisar dirija-se á rua do Lavradio n. 67, lojas.",,,,,,,,,,,,,,,,
4369,551,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua da Valla, 87",,"VENDE-SE, na rua da Valla n. 87, huma preta com habilidades, sendo para fôra da cidade, por commodo preço.",,,,,,,,,,,,,,,,
4370,552,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,"compra
",oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua Direita, 74",,COMPRA-SE hum moleque que entenda de cozinha; dirija-se na rua Direita n. 74.,,,,,,,,,,,,,,,,
4371,553,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,fuga,procurando serviço,1,,,,,,Claudio,Quiçaman,M,15.0,preto,escravo,"Praça de São Christovão, 7",,"Fugio no dia 23 do corrente mez de agosto hum preto de nome Claudio, fulo, de nação Quiçaman, de 15 a 17 annos de idade, levou vestido calças escuras de listas, camisa branca de algodão americano, suspensorios de orella de panno encarnado, e tem, a cabeça rapada: quem o apprehender e levar á praça de S. Christovão n. 7 receberá boas alviçaras.",,,,,,,,,,,,,,,,
4372,554,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,aluguel,oferecendo serviço,1,,,,,,,,F,,preta,,"Rua de Santo Antonio, 22",,ALUGA-SE huma preta boa mocamba; na rua de Santo Antonio n. 22.,,,,,,,,,,,,,,,,
4373,555,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua da Ajuda, 66",,"VENDE-SE huma preta que lava, cozinha, e quitanda, e outra de 12 a 13 annos; na rua da Ajuda n. 66, loja.",,,,,,,,,,,,,,,,
4374,556,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,escrava,"Rua do Carmo, 79",,VENDE-SE huma ama de leite com cria: na rua do Carmo n. 79.,,,,,,,,,,,,,,,,
4375,557,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Praia do Peixe, 9",,"VENDE-SE hum preto perfeito official de pedreiro, de idade de 27 annos; quem o pretender dirija-se á praia do Peixe casa n. 9.",,,,,,,,,,,,,,,,
4376,558,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,boleiro,,,M,16.0,pardo,escravo,"Rua do Parto, 112",,"VENDE-SE hum pardo escuro, sabe bem tratar de animaes, proprio para boleiro, muito bom montador e proprio para pagem, de idade de 16 a 17 annos; quem o pretender dirija-se á rua do Parto n. 112.",,,,,,,,,,,,,,,,
4377,559,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,roceiro,,,M,,preto,escravo,"Rua do Hospício, 35",,"VENDE-SE hum preto de boa figura, chegado ha poucos dias de S. Sebastião, prorprio para roça, se dá por preço commodo; na rua do Hospício n. 35.",,,,,,,,,,,,,,,,
4378,560,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,,,Benguella,F,20.0,preta,escrava,"Rua da Praia do Vallongo, 9",,"VENDE-SE, na rua da Praia do Vallongo n. 9, armazem de mantimentos, huma preta de nação Benguella, idade 20 annos pouco mais ou menos; prefere-se para fôra do Rio de Janeiro.",,,,,,,,,,,,,,,,
4379,561,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,18.0,preta,escrava,"Rua de São Pedro, 283",,"VENDE-SE huma linda e elegante mocamba recolhida, de 18 annos, mui prendada; e huma rica ama de leite do primeiro parto, com huma pardinha mui linda de 7 mezes: ambas são livres de vícios; trata-se na rua de S. Pedro, sobrado defronte do n. 283.",,,,,,,,,,,,,,,,
4380,562,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,aluguel,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,,"Rua Direita, 62",,"ALUGA-SE, na rua Direita n. 62, hum preto bom cozinheiro",,,,,,,,,,,,,,,,
4381,563,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,caldeireiro,,,M,18.0,preto,escravo,"Rua Direita, 93",,"VENDE-SE na rua Direita n. 93, hum forte molecão de 18 a (...) bom official de caldeireiro e funileiro, de toda a (...) venda não desagradará ao comprador.",,,,,,,,,,,,,,,,
4382,564,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Botafogo, 46",,"PRECISA-SE alugar hum bom cozinheiro preto, de boa conducta; em Botafogo n. 46.",,,,,,,,,,,,,,,,
4383,565,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,escrava,"Rua de São Pedro, 283",,"VENDE-SE huma linda e elegante mocamba recolhida, de 18 annos, mui prendada; e huma rica ama de leite do primeiro parto, com huma pardinha mui linda de 7 mezes: ambas são livres de vícios; trata-se na rua de S. Pedro, sobrado defronte do n. 283.",,,,,,,,,,,,,,,,
4384,566,Jornal do Commercio,228,4,http://memoria.bn.br/DocReader/docreader.aspx?bib=364568_03&pasta=ano%20184&pesq=,29-Aug-1840,venda,oferecendo serviço,1,,,,,roceiro,,,M,20.0,preto,escravo,"Rua dos Ourives, 17",,"ALUGA-SE huma negrinha de 13 a 14 annos, propria para mocamba e tem algumas habilidades; e hum molecão de 20 annos de todo o serviço de roça: na rua dos Ourives n. 17, loja.",,,,,,,,,,,,,,,,
4385,567,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira, cozinheira",,,F,,preta,escrava,"Rua do Fogo, 91",,"VENDE-SE, na rua do Fogo n. 91, huma preta mocamba, que cose, engomma, cozinha de forno e fogão, faz doces de todas as qualidades e dá-se a contento.",,,,,,,,,,,,,,,,
4386,568,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda/aluguel,procurando serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,preta,,"Largo do Rocio, 146",,"PRECISA-SEde huma preta que saiba lavar, engommar e cozinhar; quem a tiver póde dirigir-se á rua do Piolho, canto do largo do Rocio, n. 146.",,"
",,,,,,,,,,,,,,
4387,569,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,250,,,,"cozinheira, lavadeira",,,F,,preta,escrava,"Rua de São José, 10",,"VENDE-SE, por 250$ rs., huma boa preta de nação, que cozinha, lava muito bem, faz compras, carrega água, vende quitanda, não tem vícios, e só se vende por precisão; na rua de S. José n. 10.",,,,,,,,,,,,,,,,
4388,570,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,,,,,cozinheira,,,F,,preta,escrava,"Rua do Livramento, 58",,"VENDE-SE huma preta boa cozinheira, que lava de barrela e sabão, e engomma; na rua nova do Livramento n. 58.",,,,,,,,,,,,,,,,
4389,571,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira, quitandeira",,,F,,preta,escrava,"Rua da Misericórdia, 60",,"VENDE-SE huma preta de boa figura, que lava, cozinha e quitanda; na rua da Misericórdia n. 60.",,,,,,,,,,,,,,,,
4390,572,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua de São José, 72",,"VENDE-SE hum molecote sem ponta de barba, de boa figura, official de pintor; na rua de S José n. 72.",,,,,,,,,,,,,,,,
4391,573,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,aluguel,oferecendo serviço,1,,,,,chacareiro,,,M,,preto,escravo,"Praia do Flamengo, 44",,"ALUGA-SE hum preto chacareiro que sabe tratar de horta ou jardim, e tambem de animaes, e fazer outros serviços; na praia do Flamengo n. 44.",,,,,,,,,,,,,,,,
4392,574,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,escrava,"Rua do Hospício, 125",,"ALUGA-SE, na rua do Hospício n. 125, huma boa ama de leite, e na mesma casa vende-se hum bonito moleque de idade de 10 para 11 annos, com bons princípios de carpinteiro de machado.",,,,,,,,,,,,,,,,
4393,575,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,aluguel,oferecendo serviço,1,,,,,"costureira, engomadeira, cozinheira",,,F,,preta,,"Rua da Quitanda, 153",,"ALUGA-SE huma preta que cose, engomma, cozinha alguma cousa e lava muito bem; na rua da Quitanda n. 153.",,,,,,,,,,,,,,,,
4394,576,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,,"Rua da Princeza do Vallongo, 24",,"ALUGA-SE huma preta para ama, com muito e bom leite; na rua da Princeza do Vallongo n. 24.",,,,,,,,,,,,,,,,
4395,577,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,,,,,lavadeira,,,F,,,escrava,"Rua do Piolho, 27 A",,"VENDE-SE huma escrava moça, boa lavadeira de rio, que também cozinha e engomma liso; huma pardinha que cose bem, e hum moleque: na rua do Piolho n. 27 A.",,,,,,,,,,,,,,,,
4396,578,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,1,,,,,,,,F,16.0,preta,escrava,"Rua da Cadêa, 68",,"VENDEM-SE, de huma família que se retira, duas lindas mocambas, sendo huma de 16 annos e outra de 14, com prendas; huma bonita preta perfeita lavadeira de rio, engommadeira e cozinheira; e hum preto de 20 annos, de todo o serviço de roça: na rua da Cadêa n. 68.",,,,,,,,,,,,,,,,
4397,579,Jornal do Commercio,230,4,http://memoria.bn.br/DocReader/364568_03/908,31-Aug-1840,venda,oferecendo serviço,3,,,,,,,,M,,preto,escravo,"Rua da Cadêa, 54",,"VENDEM-SE tres moleques peças, e hum dito official de carpinteiro; no sobrado da rua da Cadêa n. 54.",,,,,,,,,,,,,,,,
