Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave color,slave status,Location,Location City,Ad Transcription,Observations,,,,,,,,,,,,
276,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,fuga,,1,,,,,,João,Mucena,M,11,,livre,"Rua da Ajuda, 8",,"DESENCAMINHOU-SE, no dia 15 do corrente, na rua da Ajuda n. 8, hum moleque de 11 para 12 annos, de nação Mucena, de nome João, com os signaes seguintes: bexigoso, cabeça comprida, com a marca OP no peito direito; he livre e emancipado, na conformidade do art. 7º de 28 de julho de 1817: quem o levar à casa acima mencionada será bem gratificado. N.B. No seu papel trazia o nome de Germiniano.",,,,,,,,,,,,,
277,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,fuga,,1,,,,,,Manoel,,M,,,escravo,"Rua do Sabão, 78",,"FUGIO, no dia 15 do corrente, hum moleque de nome Manoel, de 14 annos, beiçudo, pernas hum tanto arqueadas, hum signal de ferida na testa; levou calça azul de riscado, falla bem, etc.; quem o levar ou delle der noticia a seu senhor, Maia Junior, na rua do Sabão n. 78, será gratificado.",,,,,,,,,,,,,
278,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,fuga,,1,,,,,,João,Congo,M,,preto,escravo,"Rua de S. Bento, 2",,"DESAPPARECEU, na noite do dia 14 do corrente, da rua Nova de S. Bento, n.2, hum preto de nome João, nação Congo, levou vestido calças de picote, camisa e collete branco, um boné de marujo; he de estatura alta, sem barba, de nadegas grandes, tem hum signal de huma ferida ao pé de huma orelha, tem cabello cortado de gafurina até o meio da cabeça, também tem principios d'alfaiate. Roga-se a quem do mesmo souber ou apprehender, de o levar à rua de S. Bento, n. 2, armazem, que receberá alviçaras, assim como tambem se protesta contra quem o tiver em sua casa recolhido desde esta data.",,,,,,,,,,,,,
279,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,fuga,,1,,,,,,Joanna,,F,,preta,escrava,"Rua da Alfândega, 81",,"Desappareceu, da casa n. 81 da rua da Alfândega, ha mais de dous mezes, huma preta já idosa, de nome Joanna, com os seguintes signaes: estatura regular, magra, cara feia, e beiços grandes, tendo sido a sua occupação a de compradeira, e pelo que he bem conhecida; quem della souber, e der parte, será sufficientemente gratificado.",,,,,,,,,,,,,
280,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,fuga,,1,,,Margarida Desmarets,F,,Antonio,Monjolo,M,30,,escravo,"Porto da Guachindiba ou Rua do Sabão, 76",,"Fugio, no dia 14 do corrente, do porta da Guachindiba, hum escravo da Sra. Margarida Desmarets, por nome Antonio, de nação Monjolo, de idade pouco mais ou menos 30 annos, sem signaes de sua terra, e parecendo crioulo, de estatura regular; que o apprehender e o entregar no dito porto da Guachindiba, ou no Rio de Janeiro, na rua do Sabão n. 76, receberá alviçaras.",,,,,,,,,,,,,
281,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,fuga,,1,,,,,,Antonio,Camondongo,M,20,preto,escravo,"Rua das Violas, 167",,"Desappareceu da porta de seu senhor, na rua das Violas n. 167, no dia 14 do corrente, pelas 10 horas da noite, hum preto de nome Antonio, nação Camondongo, alto, pés pequenos, bem feito do corpo, vestido com calças de algodão americano forradas de riscado azul, camisade picote, e terá de idade 20 annos; desconfia-se que fosse seduzido, e protesta-se proceder com o rigor da lei contra quem o tiver acoutado.",,,,,,,,,,,,,
282,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,"ama de leite, lavadeira, cozinheira",,Nação,F,,,escrava,"Rua dos Ciganos, 23",,"VENDE-SE huma escrava de nação, boa ama de leite, que lava, cozinha, e tem abundante e excellente leite; e outra de nação Mina, que lava muito bem de sabão e barrela, cozinha o trivial, e he boa quitandeira: na rua dos Ciganos n. 23.",,,,,,,,,,,,,
283,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira, cozinheira",,,F,,,escrava,"Rua do Sabão, 339",,"VENDE-SE, na rua do Sabão n. 339, huma rapariga que sabe coser, engommar liso, cozinhar o ordinario, fazer todo o serviço com muita presteza, e não tem vicios nem molestias, o que se affiança; a quem a pretender se dirá o motivo da venda.",,,,,,,,,,,,,
284,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira, lavadeira, mocamba",,,F,16,negra,escrava,"Rua da Cadeia, 68",,"VENDE-SE huma linda negrinha peça, que cose, engomma, lava, he boa mocamba, e terá 16 annos; na rua da Cadêa n. 68.",,,,,,,,,,,,,
285,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,18,preto,escravo,"Rua do Carmo, 41",,"VENDE-SE, na rua do Carmo n. 41, hum preto de 18 annos, bem parecido, perfeito cozinheiro de forno e fogão, que se dá a contento.",,,,,,,,,,,,,
286,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,"engomadeira, cozinheira, lavadeira",,,F,,,escrava,"Ladeira de Santa Teresa, 7 ou Rua do Ouvidor, 76",,"VENDE-SE huma rapariga perfeita engommadeira, que entende tambem de cozinha, lava, etc.; para tratar, na ladeira de Santa Thereza n. 7, ou na rua do Ouvidor n. 76.",,,,,,,,,,,,,
287,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira, quitandeira",,Mina,F,,,escrava,"Rua dos Ciganos, 23",,"VENDE-SE huma escrava de nação, boa ama de leite, que lava, cozinha, e tem abundante e excellente leite; e outra de nação Mina, que lava muito bem de sabão e barrela, cozinha o trivial, e he boa quitandeira: na rua dos Ciganos n. 23.",,,,,,,,,,,,,
288,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,1,,,,,oficial de ferreiro,,,M,,,escravo,"Rua da Cadeia, 54",,"VENDE-SE hum perfeito official de ferreiro de todoa a obra de engenho; na rua da Cadea, sobrado 54.",,,,,,,,,,,,,
289,Jornal do Commercio,14,3,http://memoria.bn.br/docreader/364568_03/55,16-Jan-1840,venda,oferecendo serviço,>1,,,,,,,,M/F,,,escravos,"Rua do Ouvidor, 90",,"Jh. BOUIS fará lelilão, sexta feira, de huma porção de escravos de ambos os sexos, com officios e sem elles.",,,,,,,,,,,,,
290,Jornal do Commercio,14,4,http://memoria.bn.br/docreader/364568_03/56,16-Jan-1840,venda,oferecendo serviço,>1,,,,,,,,M/F,,,escravos,Confeitaria de Niterói,Niteroi,"VENDEM-SE, na confeitaria de Nitherohy, escravos de ambos os sexos, com officios e sem elles.",,,,,,,,,,,,,
291,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,procurando serviço,1,,,,,"cozinheira, serviços domésticos",,,F,,preta,escrava,"Rua do Ouvidor, 118",,"PRECISA-SE de huma preta boa cozinheira, e que entenda do serviço de huma casa; na rua do Ouvidor n. 118",,,,,,,,,,,,,
292,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,oferecendo serviço,1,,,,,cozinheiro,,,M,,,escravo,"Rua da Prainha, 94",,"ALUGA-SE, na rua da Prainha n. 94, loja, hum perfeito cozinheiro, e tambem huma preta para todo o serviço de huma casa.",,,,,,,,,,,,,
293,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,,escravo,"Rua dos Pescadores, 3",,"PRECISA-SE alugar hum bom cozinheiro escravo, na rua dos Pescadores n. 3.",,,,,,,,,,,,,
294,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,oferecendo serviço,1,,,,,"cozinheiro, serviços domésticos",,,M,,preto,forro,"Rua da Vala, 91",,"ALUGA-SE hum preto forro, sabendo cozinhar soffrivelmente, e proprio para todo o serviço de casa; quem delle precisar dirija-se à rua da Valla n. 91.",,,,,,,,,,,,,
295,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,procurando serviço,1,,,,,"engomadeira, cozinheira",,,F,,preta,escrava,"Rua da Alfândega, 144",,"PRECISA-SE, na rua da Alfândega n. 144, de huma preta que saiba engommar com perfeição e entenda de cozinha.",,,,,,,,,,,,,
296,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,oferecendo serviço,1,,,,,"engomadeira, lavadeira, cozinheira",,,F,,preta,escrava,"Rua da Alfândega, 103",,"ALUGA-SE, na rua da Alfândega n. 103, huma preta sabendo engommar, lavar, cozinhar, etc.",,,,,,,,,,,,,
297,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,oferecendo serviço,1,,,,,serviços domésticos,,,F,,preta,escrava,"Rua da Prainha, 94",,"ALUGA-SE, na rua da Prainha n. 94, loja, hum perfeito cozinheiro, e tambem huma preta para todo o serviço de huma casa.",,,,,,,,,,,,,
298,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,procurando serviço,1,,,,,serviços domésticos,,,M,,preto,escravo,"Rua Direita, 34",,"PRECISA-SE de hum preto para todo o serviço de casa, na rua Direita n. 34.",,,,,,,,,,,,,
299,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,oferecendo serviço,1,,,,,"serviços domésticos, engomadeira, coinheira",,,F,,,,"Rua da Cadeia, 75",,"ALUGA-SE huma Sra. parda para todo o serviço de huma casa, que engomma e cozinha perfeitamente, e dará fiador à sua conducta; na rua da Cadêa n. 75.",,,,,,,,,,,,,
300,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,aluguel,procurando serviço,1,,,Paula Candido,,"tratador de animais, serviços domésticos",,,M,,,escravo,"Paredão da Glória, 56",,"PRECISA-SE alugar hum preto ou moleque, que saiba tratar de animaes, para tratar de hum, e fazer algum serviço interno da casa; quem o quizer alugar annuncie por este jornal, ou vá à casa n. 56, no paredão da Glória, em casa do Sr. Dr. Paula Candido, que lhe achará com quem tratar.",,,,,,,,,,,,,
301,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,compra/aluguel,procurando serviço,1,,,,,"lavadeira, engomadeira, serviços domésticos",,,F,,preta,escrava,"Travessa da Candelária, 17",,"DESEJA-SE comprar ou alugar huma preta moça, que saiba lavar eengommar perfeitamente, sendo recolhida e sabendodo serviço de huma casa, e que seja dada a contento; não se duvidará pagar bem se ella agradar; na travessa da Candelária n. 17.",,,,,,,,,,,,,
302,Jornal do Commercio,15,2,http://memoria.bn.br/docreader/364568_03/58,17-Jan-1840,fuga,,1,,,Maia Junior,M,,,,M,14,,escravo,"Rua do Sabão, 78",,"FUGIO, no dia 15 do corrente, hum moleque de nome Manoel, de 14 annos, beiçudo, pernas hum tanto arqueadas, hum signal de ferida na testa; levou calça azul de riscado, falla bem, etc.; quem o levar ou delle der noticia a seu senhor, Maia Junior, na rua do Sabão n. 78, será gratificado.",,,,,,,,,,,,,
303,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,fuga,,1,,,,,,Antonio,Moçambique,M,,,escravo,"Rua do Fogo, 8",,"FUGIO, no dia 13 do corrente às 9 horas da noite, hum moleque de nome Antonio, Moçambique, com os signaes seguintes: levou vestido calça de algodão azul de Minas, camisa do mesmo; he meio buçal, com algumas sarnas. Quem o achar e levar à rua do Fogo n. 8, loja, será gratificado.",,,,,,,,,,,,,
304,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,fuga,,1,,,Joaquim de Menezes,M,,Horacio,Nação,M,8,,africano livre,"Rua da Prainha, 6",,"DESAPPARECEU, no dia 14 do corrente, hum Africano livre, por nome Horacio, de idade de 8 a 9 annos, que se achava em poder de Joaquim de Menezes, morador do beco de São Iguacio, na Prainha, n. 6; com calça e camisa de riscado, e he de nação Sena. Roga-se a quem o apprehender de o entregar na casa acima, que será recompensado, no caso de o exigir.",,,,,,,,,,,,,
305,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,fuga,,1,,,Polucena Augusta Barboza,F,,Henrique,Cabinda,M,,,escravo,"Rua da Princesa do Catete, 46",,"Fugio, no dia 14 do corrente mez, hum escravo por nome Henrique, de nação Cabinda, pertencente a D. Polucena Augusta Barboza, moradora na rua da Princeza do Catete n. 46; levou hum pequeno embrulho com sua roupa, he mal encarado, picado de bexigas, e anda muito apressado; quem o apprehender pode levá-lo a casa acima, para ser gratificado.",,,,,,,,,,,,,
306,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,fuga,,1,,,Francisco das Chagas Cunha,M,,Ludogero,Congo,M,,,escravo,"Rua de S. Francisco da Prainha, 8",,"DESAPPARECEU, no dia 13 de janeiro do corrente anno, hum moleque de nação Congo, de nome Ludogero, dos que forão aprezados vindos no brigre-escuna Carolina, o qual moleque foi entregue a Francisco das Chagas Cunha, em 23 de abril de 1839: levou vestido calças de riscado azul, camisa de algodão de Minas e chapéo de palha: quem delle souber ou der noticias na rua S. Francisco da Prainha n. 8, receberá boas alviçaras.",,,,,,,,,,,,,
307,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,2,,,,,alfaiates,,,M,,,escravos,"Rua de São Pedro, 91",,"VENDEM-SE dous bons alfaiates, que cortão e fazem, e hum barbeiro e sangrador; na rua de S. Pedro n. 91.",,,,,,,,,,,,,
308,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,"barbeiro, sangrador",,,M,,,escravo,"Rua de São Pedro, 91",,"VENDEM-SE dous bons alfaiates, que cortão e fazem, e hum barbeiro e sangrador; na rua de S. Pedro n. 91.",,,,,,,,,,,,,
309,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,carpinteiro,,,M,,,escravo,"Rua Direita, 66",,"VENDEM-SE dous escravos, hum perito official de marceneiro de toda obra, até lustra; e outro de carpinteiro; na rua Direita n. 66.",,,,,,,,,,,,,
310,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,300$000,,,,"comprador, carregador, cozinheiro",,Nação,M,,,escravo,"Rua do Lavradio, 23",,"VENDE-SE hum moleque de nação, tem 14 annos, e se dá por 300$ rs. por ter huma vista de menos; faz compras, carrega agua, e tem principios de cozinheiro; na rua do Lavradio n. 23.",,,,,,,,,,,,,
311,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira, lavadeira, serviços domésticos",,,F,13,negra,escrava,"Rua dos Ourives, 17",,"VENDE-SE huma linda negrinha de 13 annos, que cose soffrivelmente, engomma, lava, e faz o mais serviço; na rua dos Ourives n. 17.",,,,,,,,,,,,,
312,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, mocamba",,,F,10,parda,escrava,"Rua do Rosário, 94",,"VENDE-SE huma pardinha muito linda, de 10 annos, sabendo coser; he muito serviçal, carinhosa para crianças, e muito propria para huma perfeitissima mocamba; na rua do Rosário n. 94: affiança-se que não tem defeito algum nem vicios.",,,,,,,,,,,,,
313,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,"cozinheira, lavadeira, engomadeira",,,F,,,escrava,"Largo de S. Domingos de Nitherohy, casa onde se vendem os bilhetes da barca de vapor",Niteroi,"VENDE-SE huma (...) perfeita cozinheira, que lava e engomma; no lardo de S. Domingos de Nitherohy, casa onde se vendem os bilhetes da barca de vapor. O motivo da venda se dirá ao comprador.",,,,,,,,,,,,,
314,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,"engomadeira, serviços domésticos",,,F,,,escrava,"Rua de S. Jorge, 2",,"VENDE-SE huma rapariga para todo o serviço de huma casa, sabendo bem engommar roupa de Sra. e de homem; quem a pretender dirija-se à rua de S. Jorge n. 2.",,,,,,,,,,,,,
315,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,mocamba,,Nação,F,,,escrava,"Rua Direita, 39",,"VENDE-SE, na rua Direita n. 39, segundo sobrado, huma boa mocamba de nação.",,,,,,,,,,,,,
316,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, engomadeira, cozinheira, lavadeira, rendeira, doceira",,,F,20,preta,escrava,"Rua dos Ourives, 17",,"VENDE-SE huma preta de 20 annos, mocamba, perfeita costureira, engommadeira, cozinheira e lavadeira, faz rendas e doces de toda a qualidade; na rua dos Ourives n. 17.",,,,,,,,,,,,,
317,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,oficial de marceneiro,,,M,,,escravo,"Rua Direita, 66",,"VENDEM-SE dous escravos, hum perito official de marceneiro de toda obra, até lustra; e outro de carpinteiro; na rua Direita n. 66.",,,,,,,,,,,,,
318,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,roceiro,,,M,,preto,escravo,"Rua da Ajuda, 10",,"VENDE-SE hum bom preto de meia idade, para todo o trabalho de roça, affiançando-se que não tem vicios nem molestias; na rua da Ajuda n. 10.",,,,,,,,,,,,,
319,Jornal do Commercio,15,2,http://memoria.bn.br/docreader/364568_03/58,17-Jan-1840,venda,oferecendo serviço,>1,,,,,"roceiros, cozinheiros, pagens, moleques, mocambas, costureiras, lavadeiras, engommadeiras",,,M/F,,,escravos,"Rua do Ouvidor, 90",,"J. BOUIS faz leilão hoje, em sua casa, na rua do Ouvidor n. 90, de huma grande porção de escravos de ambos os sexos, como pretos de roça, cozinheiros, pagens, moleques, mocambas, costureiras, lavadeiras e engommadeiras, os quaes são affiançados serem de perfeita saude e boas vendas. As 10 1/2 horas.",,,,,,,,,,,,,
320,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,oferecendo serviço,1,,,,,,,Crioula,F,,,escrava,"Rua da Prainha, esquina do beco das Canôas n. 14.",,"QUEM quizer comprar huma escrava crioula, corpulente e propria para todo o serviço, com a condição de ser vendida para fóra da provincia ou do imperio, procure na rua da Prainha, esquina do beco das Canôas n. 14.",,,,,,,,,,,,,
321,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda,ofecerencendo serviço,>1,,,,,,,,M/F,,,escravos,Confeitaria de Niterói,Niteroi,"VENDEM-SE, na confeitaria de Nitherohy, escravos de ambos os sexos, com officios e sem elles.",,,,,,,,,,,,,
322,Jornal do Commercio,15,3,http://memoria.bn.br/docreader/364568_03/59,17-Jan-1840,venda/aluguel,oferecendo serviço,1,,,,,"ama de leite, costureira, engomadeira, lavadeira, cozinheira",,,F,18,preta,escrava,"Rua do Carmo, 41",,"VENDE-SE ou aluga-se, na rua do Carmo n. 41, huma preta com leite, de 40 a 50 dias, bem parecida e, muito carinhosa, cose, engomma, lava e cozinha, e tem 18 a 20 annos.",,,,,,,,,,,,,
323,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,parda,escrava,"Beco do Fisco, 9",,"ALUGA-SE huma parda ama de leite, no beco do Fisco n. 9.",,,,,,,,,,,,,
324,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,aluguel,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua da Quitanda, 12",,"PRECISA-SE alugar hum preto para todo o serviço, na rua da Quitanda n. 12.",,,,,,,,,,,,,
325,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,aluguel/venda,oferecendo serviço,1,,,,,cozinheira,,,F,,,escrava,"Rua da Prainha, 24",,"NA RUA da Prainha, n. 24, aluga-se huma escrava muito boa cozinheira, e hum preto que entende muito bem de roça e he muito fiel; assim como tambem se vende huma preta muito sadia, de idade 20 annos, que lava e cozinha o ordinario de huma casa. Na mesma casa se vende tambem hum preto marinheiro de governo.",,,,,,,,,,,,,
326,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,aluguel/venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira",,,F,,preta,escrava,"Rua da Prainha, 24",,"NA RUA da Prainha, n. 24, aluga-se huma escrava muito boa cozinheira, e hum preto que entende muito bem de roça e he muito fiel; assim como tambem se vende huma preta muito sadia, de idade 20 annos, que lava e cozinha o ordinario de huma casa. Na mesma casa se vende tambem hum preto marinheiro de governo.",,,,,,,,,,,,,
327,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,aluguel/venda,oferecendo serviço,1,,,,,marinheiro,,,M,,preto,escravo,"Rua da Prainha, 24",,"NA RUA da Prainha, n. 24, aluga-se huma escrava muito boa cozinheira, e hum preto que entende muito bem de roça e he muito fiel; assim como tambem se vende huma preta muito sadia, de idade 20 annos, que lava e cozinha o ordinario de huma casa. Na mesma casa se vende tambem hum preto marinheiro de governo.",,,,,,,,,,,,,
328,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,aluguel/venda,oferecendo serviço,1,,,,,roceiro,,,M,,preto,escravo,"Rua da Prainha, 24",,"NA RUA da Prainha, n. 24, aluga-se huma escrava muito boa cozinheira, e hum preto que entende muito bem de roça e he muito fiel; assim como tambem se vende huma preta muito sadia, de idade 20 annos, que lava e cozinha o ordinario de huma casa. Na mesma casa se vende tambem hum preto marinheiro de governo.",,,,,,,,,,,,,
329,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,compra,procurando serviço,1,,,,,,,,,,,escravo,"Rua de São Pedro, 64",,"COMPRA-SE, na rua de S. Pedro n. 64, hum preto que seja perfeito cozinheiro, tanto de forno como de fogão, e que não seja idoso.",,,,,,,,,,,,,
330,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,fuga,,1,,,,,pedreiro,Francisco,Cabinda,M,30,,escravo,"Estabelecimento de serrar madeira, Largo da Ajuda ou Rua do Ouvidor, 50 ou 84",,"Fugirão, do estabelecimento de serrar madeira, sito no largo da Ajuda, dous escravos, hum de nome francisco, nação Cabinda, idade 30 annos pouco mais ou menos, bastante marcado de boubas nas pernas, o qual foi comprado ha pouco como pedreiro; elle chegou ha poucas semanas do Bananal; o outro, de nome Ventura, nação Camundá, idade 30 annos mais ou menos, bom jardineiro, alto, com muitas marcas de açoutes; elle foi comprado tambem ha poucos dias, e morava antes na cidade de Nitherohy; ambos são muito intelligentese levárão bastante roupa. Quem os levar ao estabelecimento mencionando, ou à casa de P. Echalier, na rua do Ouvidor n. 50, ou à de Frederico Guilherme, na mesma rua n. 84, receberá cada hum 30$000 réis de gratificação.",,,,,,,,,,,,,
331,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,fuga,,1,,,,,jardineiro,Ventura,Camundá,M,30,,escravo,"Estabelecimento de serrar madeira, Largo da Ajuda ou Rua do Ouvidor, 50 ou 84",,"Fugirão, do estabelecimento de serrar madeira, sito no largo da Ajuda, dous escravos, hum de nome francisco, nação Cabinda, idade 30 annos pouco mais ou menos, bastante marcado de boubas nas pernas, o qual foi comprado ha pouco como pedreiro; elle chegou ha poucas semanas do Bananal; o outro, de nome Ventura, nação Camundá, idade 30 annos mais ou menos, bom jardineiro, alto, com muitas marcas de açoutes; elle foi comprado tambem ha poucos dias, e morava antes na cidade de Nitherohy; ambos são muito intelligentese levárão bastante roupa. Quem os levar ao estabelecimento mencionando, ou à casa de P. Echalier, na rua do Ouvidor n. 50, ou à de Frederico Guilherme, na mesma rua n. 84, receberá cada hum 30$000 réis de gratificação.",,,,,,,,,,,,,
332,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,1,,,,,"ama de leite, costureira, engomadeiraa, lavadeira, cozinheira",,,F,18,,escrava,"Rua do Carmo, 41",,"VENDE-SE, na rua do Carmo n. 41, huma ama de leite de 18 a 20 annos, bem parecida, parida de 40 a 50 dias, que cose, engomma, lava e cozinha.",,,,,,,,,,,,,
333,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,2,,,,,ama de leite/indefinido,,,F/indefinido,,,escrava,"Rua do Sabão, 67",,"VENDE-SE huma ama de leite, com cria; na rua do Sabão n. 67.",,,,,,,,,,,,,
334,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,1,330$000,,,,"costureira, engomadeira, cozinheira, lavadeira",,,F,13,negra,escrava,"Rua da Cadeia, 68",,"VENDE-SE huma negrinha de 13 a 14 annos, que cose, engomma, cozinha e lava, dá-se por 330$; na rua da Cadêa n. 68.",,,,,,,,,,,,,
335,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, mocamba",,,F,10,parda,escrava,"Rua do Rosário, 94",,"VENDE-SE huma pardinha muito linda, de 10 annos, sabendo coser; he muito serviçal, carinhosa para crianças, e muito propria para huma perfeitissima mocamba; na rua do Rosário n. 94: affiança-se que não tem defeito algum nem vicios.",,,,,,,,,,,,,
336,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira, engomadeira",,,F,,preta,escrava,"Rua Senhor dos Passos, 182",,"VENDE-SE huma preta que lava, cozinha e engomma; na rua Senhor dos Passos n. 182.",,,,,,,,,,,,,
337,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,1,,,,,marinheiro,,,M,,preto,escravo,"Rua das Violas, 2",,VENDE-SE hum preto marinheiro; quem o pretender dirija-se à rua das Violas n. 2.,,,,,,,,,,,,,
338,Jornal do Commercio,16,4,http://memoria.bn.br/docreader/364568_03/64,18-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, engomadeira, lavadeira, cozinheira",,,F,,,escrava,"Rua da Cadeia, 16",,"VENDE-SE huma mocamba recolhida, de elegante figura, perfeita costureira, lavadeira, engommadeira e cozinheira, a qual não tem vicios e he pertencente a huma familia que vai para fóra: na rua da Cadêa n. 16, sobrado.",,,,,,,,,,,,,
